type,id,amount,fdcId,nutrient_name,nutrient_unit
FoodNutrient,2219712,0.0,321358,"Vitamin C, total ascorbic acid",mg
FoodNutrient,2219713,0.15,321358,Thiamin,mg
FoodNutrient,2219714,0.115,321358,Riboflavin,mg
FoodNutrient,2219715,36.0,321358,"Folate, total",µg
FoodNutrient,2219716,0.0,321358,Vitamin K (Dihydrophylloquinone),µg
FoodNutrient,2219717,17.2,321358,Vitamin K (phylloquinone),µg
FoodNutrient,2219740,7.35,321358,Protein,g
FoodNutrient,2219744,0.0,321358,Lactose,g
FoodNutrient,2219747,5.4,321358,"Fiber, total dietary",g
FoodNutrient,2219748,2.41,321358,"Iron, Fe",mg
FoodNutrient,2219749,71.1,321358,"Magnesium, Mg",mg
FoodNutrient,2219751,438.0,321358,"Sodium, Na",mg
FoodNutrient,2219754,1.0,321358,"Vitamin A, RAE",µg
FoodNutrient,2219782,0.948,321358,Niacin,mg
FoodNutrient,2219784,0.143,321358,Vitamin B-6,mg
FoodNutrient,2219785,0.0,321358,Vitamin K (Menaquinone-4),µg
FoodNutrient,2219786,17.1,321358,Total lipid (fat),g
FoodNutrient,2219787,14.9,321358,"Carbohydrate, by difference",g
FoodNutrient,2219793,41.0,321358,"Calcium, Ca",mg
FoodNutrient,2219794,289.0,321358,"Potassium, K",mg
FoodNutrient,2219795,1.38,321358,"Zinc, Zn",mg
FoodNutrient,2219797,1.74,321358,Vitamin E (alpha-tocopherol),mg
FoodNutrient,2219813,0.34,321358,"Sugars, Total",g
FoodNutrient,2219814,13.9,321358,"Carbohydrate, by summation",g
FoodNutrient,2219825,16.1,321358,Total fat (NLEA),g
FoodNutrient,2219984,27.2,321360,"Vitamin C, total ascorbic acid",mg
FoodNutrient,2219986,0.63,321360,Total lipid (fat),g
FoodNutrient,2219995,11.0,321360,"Calcium, Ca",mg
FoodNutrient,2219997,0.33,321360,"Iron, Fe",mg
FoodNutrient,2219998,11.9,321360,"Magnesium, Mg",mg
FoodNutrient,2220001,260.0,321360,"Potassium, K",mg
FoodNutrient,2220002,6.0,321360,"Sodium, Na",mg
FoodNutrient,2220003,0.2,321360,"Zinc, Zn",mg
FoodNutrient,2220004,2.1,321360,"Fiber, total dietary",g
FoodNutrient,2220015,0.98,321360,Vitamin E (alpha-tocopherol),mg
FoodNutrient,2220023,0.0,321360,Vitamin K (Dihydrophylloquinone),µg
FoodNutrient,2220024,0.0,321360,Vitamin K (Menaquinone-4),µg
FoodNutrient,2220025,4.2,321360,Vitamin K (phylloquinone),µg
FoodNutrient,2220026,0.065,321360,Riboflavin,mg
FoodNutrient,2220027,0.075,321360,Thiamin,mg
FoodNutrient,2220028,0.06,321360,Vitamin B-6,mg
FoodNutrient,2220029,10.0,321360,"Folate, total",µg
FoodNutrient,2220030,0.805,321360,Niacin,mg
FoodNutrient,2220031,0.83,321360,Protein,g
FoodNutrient,2220032,5.51,321360,"Carbohydrate, by difference",g
FoodNutrient,33291134,,321360,Vitamin A,mg
FoodNutrient,2220527,0.0,321611,Lactose,g
FoodNutrient,2220529,0.19,321611,"Zinc, Zn",mg
FoodNutrient,2220530,36.0,321611,"Calcium, Ca",mg
FoodNutrient,2220531,0.39,321611,Total lipid (fat),g
FoodNutrient,2220532,4.11,321611,"Carbohydrate, by difference",g
FoodNutrient,2220538,282.0,321611,"Sodium, Na",mg
FoodNutrient,2220541,0.78,321611,"Iron, Fe",mg
FoodNutrient,2220543,1.04,321611,Protein,g
FoodNutrient,2220545,12.7,321611,"Magnesium, Mg",mg
FoodNutrient,2220547,97.0,321611,"Potassium, K",mg
FoodNutrient,2220549,1.29,321611,"Sugars, Total",g
FoodNutrient,2227684,28.0,323121,Total lipid (fat),g
FoodNutrient,2227685,2.89,323121,"Carbohydrate, by difference",g
FoodNutrient,2227687,15.0,323121,"Calcium, Ca",mg
FoodNutrient,2227688,343.0,323121,"Potassium, K",mg
FoodNutrient,2227689,2.06,323121,"Zinc, Zn",mg
FoodNutrient,2227693,0.51,323121,Vitamin E (alpha-tocopherol),mg
FoodNutrient,2227694,2.25,323121,Niacin,mg
FoodNutrient,2227696,0.13,323121,Vitamin B-6,mg
FoodNutrient,2227721,0.033,323121,Thiamin,mg
FoodNutrient,2227722,0.154,323121,Riboflavin,mg
FoodNutrient,2227723,0.0,323121,"Folate, total",µg
FoodNutrient,2227724,0.97,323121,Vitamin B-12,µg
FoodNutrient,2227751,11.7,323121,Protein,g
FoodNutrient,2227753,1.14,323121,"Iron, Fe",mg
FoodNutrient,2227754,11.5,323121,"Magnesium, Mg",mg
FoodNutrient,2227756,872.0,323121,"Sodium, Na",mg
FoodNutrient,2227760,3.0,323121,"Vitamin A, RAE",µg
FoodNutrient,2227763,0.0,323121,Lactose,g
FoodNutrient,2227773,1.26,323121,"Sugars, Total",g
FoodNutrient,2227784,26.0,323121,Total fat (NLEA),g
FoodNutrient,2228445,0.0,323294,Lactose,g
FoodNutrient,2228448,0.0,323294,"Vitamin C, total ascorbic acid",mg
FoodNutrient,2228464,273.0,323294,"Calcium, Ca",mg
